video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/dmvvrlhH_-Q,/@USATODAY,USA TODAY,"US sending expeditionary force of 2,500 Marines to the Middle East",20K,3 days,"The United States is sending a 2500-strong Marine expeditionary force to the Middle East, signaling deepening American ...",2026-03-17 03:12:37.868552
/shorts/8AGHIMTqiT8,/@CBNnewsonline,CBN News,"Unthinkable Escalation: 6,000 Strikes, Cities Under Fire, Leaders Missing #iran #israel",672K,3 days,"In Israel, Prime Minister Benjamin Netanyahu addressed the nation, declaring that Iran, the Middle East, and Israel itself have ...",2026-03-17 03:12:37.869917
/shorts/2YDvLTvNAx8,/@TvoneUSA,TVOne USA,Operation Wada-e-Sadiq 55th Wave Launched | Middle East Tensions | TV One USA,4K,7 hours,Operation Wada-e-Sadiq 55th Wave Launched | Middle East Tensions | TV One USA #OperationWadeSadiq #IranMilitary ...,2026-03-17 03:12:37.871230
/shorts/T7Pse04ZdOg,/@CNN,CNN,Zelensky says Russia supplied Iran with drones used in the conflict,185K,2 days,Ukrainian President Volodymyr Zelensky told CNN's Fareed Zakaria that his intelligence suggests Russia has provided Iran with ...,2026-03-17 03:12:37.872432
/watch?v=-J253kXay1k&pp=ygULbWlkZGxlIGVhc3Q%3D,/@CBCNews,CBC News,"Inflation slowed in February, but Middle East war could see prices spike | Power & Politics",1K,2 hours,C.D. Howe Institute fellow-in-residence Don Drummond explains why new numbers that showed inflation cooled last month are ...,2026-03-17 03:12:37.873810
/watch?v=Drg6eQjuR1k&pp=ygULbWlkZGxlIGVhc3TSBwkJwwoBhyohjO8%3D,/@FoxNewsChannelClips,Fox News Clips,Trump WARNS of Iranian sleeper cells as Middle East conflict continues,36K,2 days,'The Big Weekend Show' co-host Joey Jones discusses concerns over sleeper cells amid the Iran conflict on 'Fox News Live.,2026-03-17 03:12:37.876231
/shorts/LIdLSceu8g4,/@CNN,CNN,The rich are fleeing the Middle East in private jets,131K,3 days,"Demand for private charter flights out of the Middle East has surged since the beginning of the US-Israeli conflict with Iran, with ...",2026-03-17 03:12:37.877554
/watch?v=X7OeW0-44qQ&pp=ygULbWlkZGxlIGVhc3Q%3D,/@abcnewsaustralia,ABC News (Australia),Experts predict fuel rationing if Middle East conflict continues | ABC NEWS,39K,1 day,Experts say Australia will have to introduce some form of fuel rationing if the conflict in the Middle East continues indefinitely.,2026-03-17 03:12:37.878773
/watch?v=36e19YZMG2M&pp=ygULbWlkZGxlIGVhc3Q%3D,/@KCENNews,KCENNews,Thousands more marines being deployed to Middle East as conflict in Iran continues,13K,3 days,"The Pentagon has announced that six crew members are believed to have died after a U.S. refueling plane crashed, and said ...",2026-03-17 03:12:37.879966
/shorts/VrGjdLfvImw,/@Bloomberg-News,Bloomberg News,North Korea Tests Missiles as US Reportedly Moves Arms to Fight Iran,263K,5 days,"... including Patriot batteries and parts of its Terminal High Altitude Area Defense system, to the Middle East, raising concerns over ...",2026-03-17 03:12:37.881246
/shorts/JI8za0J5pqE,/@FoxNews,Fox News,WATCH: US forces carry out strikes on Iran’s Kharg Island #shorts #news #foxnews #us,149K,2 days,... #foxnews #iran #military #airstrikes #defense #centcom #middleeast #war #khargisland #oil #energy #nationalsecurity #conflict ...,2026-03-17 03:12:37.882836
/shorts/qcQaZrfk6e8,/@Bloomberg-News,Bloomberg News,The Arms Race That Could Determine Iran War Outcome,91K,6 days,"A major factor that could limit hostilities in Iran and the Middle East is munitions — what weapons each side is using, and how ...",2026-03-17 03:12:37.884423
